time_s,satellite,target_id,meas_az_rad,meas_el_rad,true_az_rad,true_el_rad,meas_sigma_rad,sat_x_km,sat_y_km,sat_z_km
380.0,GEO-3,1,2.8694529790611343,-0.11716766270765319,2.8698652833362504,-0.11594818654014988,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
380.0,GEO-1,2,2.2693727700104804,0.31432234756928534,2.2678527056502378,0.31422814655586595,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
380.0,GEO-2,2,3.0053077804764436,-0.5189802948436464,3.0022565154860636,-0.5183268857731131,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
380.0,GEO-3,2,2.8525638375721876,-0.1216674892378665,2.851710994557008,-0.12123327007654064,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
390.0,GEO-1,1,2.2813590676807234,0.32401417728604043,2.281105399627502,0.3231807860738949,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
390.0,GEO-2,1,3.0193729357169876,-0.5113333176022111,3.0201722435284286,-0.5112332271373495,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
390.0,GEO-3,1,2.8679002342905666,-0.11423527785350544,2.8677392926971694,-0.11434875795703255,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
390.0,GEO-1,2,2.266031213257691,0.31550022047640913,2.2654347622289914,0.314474657306712,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
390.0,GEO-2,2,2.9991180961076847,-0.5169994321223076,2.99828446776883,-0.5172624446783759,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
390.0,GEO-3,2,2.847929788960389,-0.1211849968340515,2.8482771619078173,-0.1200553132516713,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
400.0,GEO-1,1,2.2788825852715258,0.32358031084678274,2.2796180837305746,0.32410885963395053,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
400.0,GEO-2,1,3.0184143068397447,-0.5101738590394246,3.01773159277644,-0.5098102488607169,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
400.0,GEO-3,1,2.8643839414529197,-0.11212451046245965,2.865626280219844,-0.11275085761523417,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
400.0,GEO-1,2,2.262293030022561,0.3139312414071807,2.263096280719867,0.31469707001107244,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
400.0,GEO-2,2,2.994101871590669,-0.5156782952821044,2.994328143002059,-0.5161514731282344,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
400.0,GEO-3,2,2.842460407707186,-0.11999341155279439,2.8448735912092538,-0.11887195756588503,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
410.0,GEO-1,1,2.278350712675234,0.32465034482317057,2.27817512352596,0.32501450582257063,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
410.0,GEO-2,1,3.014432247302498,-0.5089051541571724,3.0152967918177334,-0.5083637012731023,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
410.0,GEO-3,1,2.8649131181043472,-0.11161105383771236,2.8635278640895656,-0.11115532556741078,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
410.0,GEO-1,2,2.2615513042485023,0.31568785549728406,2.2608386392850046,0.31489598641518857,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
410.0,GEO-2,2,2.9899414666633093,-0.5145513697455468,2.9903916876796885,-0.5149948088129053,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
410.0,GEO-3,2,2.8410533449713538,-0.11829442405221477,2.841503582587419,-0.11768400654319155,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
420.0,GEO-1,1,2.2756513236824842,0.32677262166904586,2.2767773180433215,0.32589766541753484,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
420.0,GEO-2,1,3.0124716330212338,-0.5074464808318526,3.012869792361211,-0.506894338425288,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
420.0,GEO-3,1,2.860318195715113,-0.10775415579201045,2.861445640634451,-0.10956300075486924,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
420.0,GEO-1,2,2.259404896548636,0.31493921968364863,2.258663090936592,0.31507202415798724,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
420.0,GEO-2,2,2.985784464960074,-0.5153231726192393,2.9864791993325848,-0.5137933726235282,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
420.0,GEO-3,2,2.8384621784084865,-0.11620384895204708,2.8381703647366936,-0.1164922707636564,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
430.0,GEO-1,1,2.274017015877248,0.32791984701772886,2.275425416563181,0.3267582966572477,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
430.0,GEO-2,1,3.011228488066787,-0.5063650202666916,3.0104525316986432,-0.5054029465232361,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
430.0,GEO-3,1,2.858825485650388,-0.10840204058840315,2.8593811821902637,-0.10797471996186793,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
430.0,GEO-1,2,2.2567314435374173,0.31508024515205885,2.2565707645768627,0.31522581457745474,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
430.0,GEO-2,2,2.9809557782591427,-0.5110740687556045,2.982594717350628,-0.5125481662320449,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
430.0,GEO-3,2,2.835193399312578,-0.11403679266175952,2.834877088892765,-0.1152975660344815,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
440.0,GEO-1,1,2.275374940879987,0.3273884737333925,2.2741201185331215,0.3275963745500553,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
440.0,GEO-2,1,3.0083888919327353,-0.5031536783423194,3.008046929797094,-0.5038903429541832,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
440.0,GEO-3,1,2.858105648460328,-0.10655523554415268,2.8573360350320796,-0.10639131678405365,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
440.0,GEO-1,2,2.253944480862683,0.31539328713936254,2.2545626663342895,0.3153580005697263,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
440.0,GEO-2,2,2.9779406713320857,-0.5118162033496517,2.978742214099236,-0.5112602693717122,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
